id,uuid,pid,language,title,fname,mname,lname,suffix,DOB,age,sex,street,city,state,postal_code,county,drivers_license,ss,phone_cell,occupation,status,pharmacy_id,race,ethnicity,email,pricelevel,deceased_date,deceased_reason,pubpid,date,regdate,religion,country_code,phone_home,phone_biz,phone_contact,contact_relationship,gender_identity,sexual_orientation,referrer,referrerID,email_direct,ethnoracial,interpretter,migrantseasonal,family_size,financial,monthly_income,homeless,genericname1,genericval1,genericname2,genericval2,squad,referral_source,primary_insurance,usertext2,usertext3,usertext4,usertext5,usertext6,usertext7,usertext8,userlist1,userlist2,userlist3,userlist4,userlist5,userlist6,userlist7,advance_directive_user_authenticator,vfc,mothersname,allow_imm_reg_use,allow_imm_info_share,allow_health_info_ex,allow_patient_portal,preferred_name,sex_identified,pronoun,providerID,ref_providerID,billing_note,financial_review,hipaa_mail,hipaa_voice,hipaa_notice,hipaa_message,hipaa_allowsms,hipaa_allowemail,fitness,contrastart,completed_ad,ad_reviewed,guardiansname,soap_import_status,cmsportal_login,care_team_provider,care_team_facility,care_team_status,industry,imm_reg_status,imm_reg_stat_effdate,publicity_code,publ_code_eff_date,protect_indicator,prot_indi_effdate,guardianrelationship,guardiansex,guardianaddress,guardiancity,guardianstate,guardianpostalcode,guardiancountry,guardianphone,guardianworkphone,guardianemail,birth_fname,birth_lname,birth_mname,dupscore,name_history,street_line_2,patient_groups,prevent_portal_apps,provider_since_date,created_by,updated_by,cost
1,NULL,1,English,,Peter,I,Brown,,5/25/1979,47,Male,1253 HEWES AVENUE,HARLINGEN,TX,78550,Cameron County,,123-54-6542,956-002-4163,Construction Worker,Married,1,Black,Not Hispanic or Latino,,standard,NULL,,1,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,258
2,NULL,2,English,,Amy,D,Paz,,4/14/2005,21,Female,2524 ROMROG WAY,HOUSTON,TX,77032,Harris County,,123-56-9874,713-075-0322,Chemist,Single,1,Asian,Not Hispanic or Latino,,standard,NULL,,2,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,216
3,NULL,3,English,,Marge,,Simpson,,4/15/1971,55,Female,154 SPRING WAY,SPRINGFIELD,TX,78765,Travis County,,456-25-9874,451-256-9856,Housewife,Married,0,White,Not Hispanic or Latino,,standard,NULL,,3,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,277
4,NULL,4,English,,Jane,,Eyre,,8/10/1981,45,Female,741 THORN WAY,AUSTIN,TX,78765,Travis County,,321-65-9856,956-002-4154,Teacher,Widowed,1,White,Not Hispanic or Latino,,standard,NULL,,4,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,164
5,NULL,5,English,,Darth,,Vader,,1/6/1992,34,Male,123 STAR WAY,AUSTIN,TX,77777,Travis County,,215-36-9856,451-263-9475,Ship Captain,Single,1,White,Not Hispanic or Latino,,standard,NULL,,5,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,230
6,NULL,6,English,Mr.,George,L,Hackney, ,8/5/2004,22,Male,62317 Alexa Avenue,Manor,TX,78653,Bastrop County,,162-99-3162,454-724-8754,Nursing aide,Married,0,Black,Hispanic or Latino,,standard,NULL,,GH-33M-A9204,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,86
7,NULL,7,English,Mr.,Alexander,,Brandt, ,10/26/1934,92,Male,60650 Single Road,San antonio,TX,78230,Bexar County,,405-74-9099,301-308-5527,Stationary engineer,Divorced,0,White,Hispanic or Latino,,standard,NULL,,AB-74M-EC6A1,0000-00-00 00:00:00,0000-00-00 00:00:00,Islam,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,255
8,NULL,8,English,Mrs.,Madina,D,Panova, ,3/10/1954,72,Female,603 Sable Crescent,Marble falls,TX,78654,Travis County,,287-12-9672,246-037-1602,Bibliographer,Married,0,Asian,Hispanic or Latino,,discount,NULL,,MP-92F-C9BE6,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,176
9,NULL,9,English,Mr.,Yoshiyuki,,Ozawa, ,7/25/2000,26,Male,72386 Days Rd,Austin,TX,78734,Travis County,,481-92-8710,728-344-9307,Counselor,Single,0,Black,Not Hispanic or Latino,,discount,NULL,,YO-95M-76927,0000-00-00 00:00:00,0000-00-00 00:00:00,Judaism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,82
10,NULL,10,English,Mr.,Stanley,R,Sills, ,8/1/2002,24,Male,23814 Tomintoul Square,Saint hedwig,TX,78152,Bexar County,,639-19-0821,442-096-4696,Bookbinder,Single,0,Asian,Not Hispanic or Latino,,standard,NULL,,SS-51M-A41BB,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,124
